id;name;birthdate
799;John Gilbert;1975-02-20
800;Fredric March;1946-03-13
801;Ramon Novarro;2007-02-17
802;George Fitzmaurice;1955-10-16
803;Lewis Stone;1964-03-10
804;Sidney Franklin;1981-03-18
805;Alan Hale;1944-03-13
806;Robert Z. Leonard;1949-07-02
807;Melvyn Douglas;1955-09-27
808;Ernst Lubitsch;1983-04-26
809;Rouben Mamoulian;1954-07-09
810;Conrad Nagel;1956-12-09
811;Fred Niblo;1955-06-14
812;Henry Stuart;1949-03-19
813;Georg Wilhelm Pabst;2002-12-08
814;Nils Asther;1974-02-12
815;John S. Robertson;1950-06-01
816;Judy Garland;1993-12-13
817;John Cassavetes;1977-01-16
818;Dustin Hoffman;1968-05-27
819;Teri Garr;1999-11-20
820;Joe Pytka;1944-03-11
821;Greer Garson;1967-02-28
822;John Belushi;1955-04-09
823;Lorraine Gary;1940-10-22
824;Roy Scheider;2008-09-05
825;John Cusack;1960-04-13
826;Wendy Gazelle;1955-12-16
827;Steven Lisberger;1983-07-17
828;Willem Dafoe;1969-02-06
829;Robert M. Young;1984-01-15
830;Judy Geeson;2009-09-22
831;Douglas Hickox;1973-06-12
832;Denise Gence;1973-06-28
833;Bertrand Blier;1970-08-21
834;James Woods;1975-06-04
835;Cynthia Gibb;1951-06-17
836;Oliver Stone;2006-04-24
837;Althea Gibson;1970-12-13
838;Robert Newton;2000-02-10
839;Connie Gilchrist;1958-08-24
840;Byron Haskin;1942-07-07
841;Jackie Gleason;1942-04-07
842;Robert Rossen;1987-04-17
843;Sharon Gless;1984-05-20
844;Peter Hyam;1961-09-14
845;Michael Ontkean;1999-04-16
846;Whoopi Goldberg;1998-04-08
847;Robert Mulligan;2007-10-28
848;Bob Goldthwait;1955-01-03
849;Hugh Wilson;2003-10-05
850;Billy Crystal;2004-11-01
851;Paul Sorvino;1942-12-16
852;Lelia Goldoni;1976-09-12
853;Valeria Golino;1951-06-18
854;Barry Levinson;1952-07-21
855;Jean-Pierre Leaud;1993-06-05
856;Chantal Goya;1964-03-21
857;Vic Perrin;1997-03-28
858;Gloria Grahame;2003-11-09
859;Paul Stanley;1957-04-21
860;Sondra Currie;2003-04-14
861;Lindsay Greenbush;1965-12-05
862;Kim Greist;1944-12-18
863;Leon M. Lion;1950-03-07
864;Anne Grey;1954-02-20
865;William L. Petersen;1970-03-03
866;Kim Griest;1967-12-08
867;Michael Mann;1994-10-13
868;Melanie Griffith;1970-11-11
869;Brian De Palma;1952-09-10
870;David Seltzer;1996-10-01
871;Keely Christian;1988-10-20
872;Brittain Grye;1997-08-22
873;Yutaka Tadokoro;1965-06-11
874;Carrie Hamilton;1961-10-18
875;Fran Rubel Kuzui;1946-07-22
876;Linda Hamilton;1992-06-25
877;James Cameron;1973-05-11
878;Brian Kerwin;1960-04-09
879;John Guillermin;1990-05-16
880;Tony Curtis;1945-05-09
881;Susan Hampshire;1969-06-24
882;Tom Berenger;1991-06-20
883;Daryl Hannah;1945-07-17
884;Tony Bill;1947-01-08
885;John Carpenter;1986-07-24
886;James Remar;1979-10-08
887;Michael Chapman;1978-06-16
888;Adrian Zmed;1970-07-02
889;Andrew Davis;1978-03-22
890;James Foley;1956-12-04
891;Peter O'Toole;1960-01-01
892;Neil Jordan;1955-01-27
893;Steve Martin;1993-02-18
894;Fred Schepisi;1950-06-18
895;Page Hannah;1976-04-07
896;Johnny Mack Brown;1978-03-10
897;Eleanor Hansen;1993-01-19
898;Ray Taylor;1973-12-16
899;Jean Harlow;1999-08-26
900;Jack Conway;1986-05-12
901;Jessica Harper;1973-03-20
902;John Byrum;1951-03-18
903;Dylan McDermott;1950-10-23
904;John Lafia;1967-10-09
905;Robert Duvall;1969-12-06
906;Tess Harper;1994-12-22
907;Bruce Beresford;1954-07-27
908;Kenneth Gilman;2001-01-02
909;Priscilla Harris;2006-06-19
910;Michael Barnard;1951-09-25
911;Deborah Harry;1984-04-10
912;James Russo;1945-06-27
913;Roxanne Hart;1960-10-16
914;Russell Mulcahy;1993-09-13
915;Bernie White;2006-01-12
916;Marilyn Hassett;2004-10-11
917;Sylvester Stallone;1987-03-23
918;Teri Hatcher;1971-02-14
919;Goldie Hawn;2009-05-22
920;Roy Boulting;1959-12-03
921;Kurt Russell;1957-04-25
922;Colin Higgins;1955-07-08
923;Edward Albert;1944-05-28
924;Milton Katselas;2007-08-02
925;Garry Marshall;2008-06-25
926;Robert Ellis Miller;1966-09-26
927;Frank Oz;1958-07-11
928;James Keach;1976-12-15
929;Michael Ritchie;1944-01-17
930;Chris Sarandon;1958-11-09
931;Jay Sandrich;1966-05-14
932;Armand Assante;1988-04-11
933;Howard Zieff;1994-12-15
934;Ronald Colman;2002-12-20
935;Helen Hayes;1987-02-24
936;Darren McGavin;1994-07-14
937;Susan Hayward;1963-09-07
938;Rita Hayworth;1975-05-20
939;Vincent Sherman;1961-01-15
940;Brian Aherne;1957-05-02
941;Charles Vidor;1946-06-24
942;Glenne Headley;1964-05-13
943;Tippi Hedren;1948-08-15
944;Geof Prysirr;1993-11-23
945;Leah Ayres Hendrix;1994-10-02
946;John Florea;1974-04-01
947;Joe Piscopo;1987-12-22
948;Marilu Henner;1947-06-18
949;Nicolas Surovy;1981-12-02
950;Rod Holcomb;1996-06-04
951;Eva Henning;2003-10-01
952;Rex Harrison;1947-12-02
953;Audrey Hepburn;1994-08-20
954;James Garner;1988-02-11
955;Katharine Hepburn;1946-08-23
956;Anthony Harvey;2008-01-04
957;Elia Kazan;1953-07-04
958;Walter Lang;1942-07-15
959;Stuart Miller;1964-05-15
960;Mark Rydell;2007-11-19
961;Tupac Shakur;1981-03-23
962;Cindy Herron;1981-08-04
963;Ernest R. Dickerson;1986-03-21
964;Barbara Hershey;1954-04-10
965;David Anspaugh;1994-06-02
966;Catherine Hicks;1992-01-25
967;Geoffrey Reeve;1945-03-14
968;Robert Shaw;2002-02-27
969;Wendy Hiller;1946-09-20
970;Fred Zinnemann;1951-02-28
971;Bill Leadbitter;1995-03-23
972;Beverly Hills;1947-12-22
973;Ian Emes;1947-03-12
974;Patrick MacNee;1944-11-16
975;Clare Hoak;1965-08-04
976;Larry Brand;2001-01-20
977;Tom Brown;1941-03-15
978;Rose Hobart;2002-08-25
979;Omri Katz;1988-11-12
980;Shawn Hoffman;1944-10-10
981;Brett Thompson;1955-02-25
982;John Terlesky;2009-11-14
983;Susanna Hoffs;1981-05-10
984;Tamar Simon Hoffs;1968-05-05
985;Sarah Holcomb;1982-05-09
986;Harold Ramis;1985-03-13
987;Johnny Whitaker;1963-03-02
988;Celeste Holm;1999-02-28
989;Siohban Finneran;1980-03-13
990;Michelle Holmes;1970-11-14
991;Alan Clarke;1963-12-21
992;Eddie Dean;1996-04-11
993;Jennifer Holt;1941-10-10
994;Camilla Horn;1984-12-08
995;Greg Webb;1948-12-13
996;Barbara Howard;1958-03-28
997;Thomas L. Neff;1946-03-04
998;David Birney;1991-04-10
999;Season Hubley;1946-12-26
1000;George Kaczender;1957-07-13
1001;Rochelle Hudson;1984-09-18
1002;Josephine Hull;1953-02-24
1003;Richard Grieco;1999-01-13
1004;Linda Hunt;1985-12-16
1005;Michael Wilmington;1998-12-27
1006;Holly Hunter;1961-12-05
1007;Joel Coen;1995-05-03
1008;Lasse Hallström;1941-07-22
1009;Isabelle Huppert;1961-09-23
1010;Robin Williams;1982-11-14
1011;Mary Beth Hurt;1940-09-17
1012;George Kennedy;1974-02-13
1013;Olivia Hussey;1963-05-03
1014;Kinji Fukasaku;1952-11-13
1015;Ruth Hussey;1974-10-12
1016;King Vidor;1970-12-28
1017;Anjelica Huston;1958-07-15
1018;Ron Silver;1956-07-04
1019;Paul Mazursky;1979-02-22
1020;Raul Julia;1945-08-23
1021;B. Sonnenfeld;2000-10-07
1022;Leila Hyams;1997-12-17
1023;Tod Browning;1941-07-01
1024;Scott Bakula;1977-09-11
1025;Kathy Ireland;1982-10-13
1026;Stan Dragoti;2010-10-02
1027;Andy Garcia;1956-12-09
1028;Amy Irving;1961-02-21
1029;Bruno Barreto;2002-04-06
1030;Joel Oliansky;2010-11-03
1031;Peter Riegert;1985-06-12
1032;Joan Micklin Silver;1980-01-25
1033;Jeffrey Kime;1949-11-08
1034;Isabelle Weingarten.;1948-03-24
1035;John Thaw;1954-01-26
1036;Glenda Jackson;1949-02-15
1037;Lezli-An Barrett;1968-06-27
1038;George Segal;1999-12-03
1039;Melvin Frank;1961-05-09
1040;Stratford Johns;1983-10-09
1041;Mike Connors;1960-11-21
1042;Sherry Jackson;2010-06-15
1043;Don Chaffey;1980-11-27
1044;Ulla Jacobsson;2005-12-27
1045;Henry Jaglom;2006-05-13
1046;Maggie Jakobsen;1970-01-09
1047;Klaus Maria Brandauer;1978-10-02
1048;Krystyna Janda;2008-01-16
1049;Franklin Dyall;1990-05-24
1050;Isabel Jeans;1982-06-03
1051;Isabel Jewell;1984-09-01
1052;Tommy Davidson;1972-12-02
1053;Anne-Marie Johnson;1958-01-26
1054;Kevin Hooks;1984-08-19
1055;Michelle Johnson;1969-10-13
1056;Grace Jones;1984-09-28
1057;Alex Cox;1965-11-28
1058;Mitch Gaylord;1993-03-14
1059;Janet Jones;1952-03-20
1060;Albert Magnoli;1995-12-12
1061;Shirley Jones;1955-06-15
1062;Ralph Levy;1954-06-07
1063;Ron Howard;1977-03-07
1064;Pernell Roberts;1964-02-04
1065;Milla Jovovich;1957-02-23
1066;Robert Wiemer;2007-10-01
1067;Bengt Eklund;1943-09-08
1068;Nine-Christine Jönsson;2010-05-21
1069;Ryan O'Neal;1999-05-05
1070;Madeline Kahn;1951-08-06
1071;Peter Bogdanovich;2010-04-20
1072;Mel Damski;1957-11-09
1073;Gene Wilder;2002-11-19
1074;Carol Kane;1972-02-23
1075;Franco Amurri;2007-02-24
1076;Frank Silvera;1977-05-25
1077;Irene Kane;1960-10-07
1078;Pierce Brosnan;1944-08-04
1079;Shashi Kapoor;1965-07-06
1080;Nicholas Meyer;1990-10-21
1081;Valerie Kaprisky;1954-07-16
1082;Jim McBride;1977-11-18
1083;Caroline Kava;1995-12-18
1084;Julie Kavner;1993-03-08
1085;Penny Marshall;2004-09-09
1086;Diane Keaton;2002-06-07
1087;Sam Shepard;1999-01-18
1088;William Atherton;1995-09-18
1089;Al Pacino;1968-05-27
1090;Martin Potter;1954-11-10
1091;Hiram Keller;1976-10-28
1092;George C. Scott;1997-03-08
1093;Marthe Keller;1970-09-03
1094;John G. Avildsen;1950-06-03
1095;Alan Arkin;1942-01-22
1096;Sally Kellerman;1997-09-10
1097;Clark Gable;2003-09-17
1098;Grace Kelly;1970-06-24
1099;Otto Kruger;1964-01-21
1100;Nancy Kelly;1946-12-15
1101;Walter Colmes;1965-11-21
1102;Henry King;1998-08-27
1103;Henry Jones;1972-05-15
1104;Mervyn LeRoy;2004-03-04
1105;Mel Gibson;1945-01-04
1106;Patsy Kensit;1970-10-03
1107;Mark Herman;1971-09-20
1108;Richard Barthelmess;1955-05-27
1109;Barbara Kent;2010-10-25
1110;Millard Webb;1996-10-02
1111;Margot Kidder;1949-02-11
1112;Christopher Reeve;2005-01-17
1113;Hussein Waris;1946-08-08
1114;Sam Neill;2006-04-22
1115;Nicole Kidman;1943-07-20
1116;Tony Scott;2001-05-24
1117;Anton Glanzelius;1961-09-06
1118;Melinda Kinnaman;1981-02-01
1119;Nastassia Kinski;1995-05-18
1120;Harry Dean Stanton;1967-10-01
1121;Sally Kirkland;1991-10-16
1122;Michael Winner;1982-07-18
1123;Eartha Kitt;1999-07-14
1124;Terry Jones;1949-10-23
1125;Gerard Kikoine;2010-06-21
1126;Gary McCleery;1944-02-19
1127;Margaret Klenck;1984-11-09
1128;Rick King;1988-01-14
1129;Shirley Knight;1989-07-04
1130;Scott Wilson;1950-12-04
1131;Maja Komorowska;2001-10-19
1132;Krzystoff Zanussi;1965-12-28
1133;Mary Kornman;2004-08-15
1134;Paul Hogan;1958-05-08
1135;Linda Kozlowski;1983-10-09
1136;John Cornell;2005-02-22
1137;Peter Faiman;1941-03-22
1138;Lisa Kreuzer;1970-09-09
1139;Alice Krige;1989-02-09
1140;Gary Graham;1948-04-09
1141;Sylvia Kristel;2009-06-11
1142;Philippe Blot;1957-08-17
1143;Josef Sommer;1971-07-14
1144;Christopher Coppola;2001-11-21
1145;Kelly Kruize;1966-03-01
1146;Masatoshi Nagase;1959-06-06
1147;Youki Kudoh;2005-04-13
1148;Jim Jarmusch;1985-04-14
1149;Denice Kumagai;1994-07-10
1150;Ted Post;1980-08-13
1151;John Goodman;1980-11-20
1152;Swoosie Kurtz;1960-06-27
1153;David Byrne;2006-03-28
1154;Masayuki Mori;1960-02-09
1155;Machiki Kyô;1970-04-02
1156;Kenji Mizoguchi;1946-12-12
1157;Diane Ladd;1964-02-14
1158;Martin B. Cohen;1972-07-25
1159;Arliss Howard;1992-11-08
1160;Christine Lahti;1987-11-03
1161;John Badham;1946-05-08
1162;Judd Hirsch;1950-10-18
1163;Leonard Nimoy;2000-03-10
1164;Audrey Landers;2005-03-09
1165;Donald Most;1974-01-05
1166;Judy Landers;1969-01-27
1167;Ken Blancato;1995-04-01
1168;Matt Dillon;1943-10-15
1169;Diane Lane;1969-02-26
1170;Ben Bolt;1947-09-26
1171;C. Thomas Howell;1996-01-19
1172;Charles Finch;1944-04-15
1173;Walter Hill;1967-02-21
1174;Jessica Lange;1976-02-05
1175;Taylor Hackford;2008-07-13
1176;Whip Wilson;1953-10-11
1177;Christine Larson;2002-03-25
1178;Carole Laure;1989-11-19
1179;Christopher Gable;1984-04-19
1180;Twiggy Lawson;1986-09-12
1181;Steven Seagal;1949-07-22
1182;Kelly LeBrock;1967-08-10
1183;Bruce Malmuth;2008-01-28
1184;Janet Leigh;2001-04-27
1185;Josef von Sternberg;1965-08-10
1186;David Neidorf;2007-11-16
1187;Jennifer Jason Leigh;2005-09-20
1188;John Stockwell;1966-05-09
1189;Vivien Leigh;1971-11-24
1190;Charlotte Lewis;1961-08-09
1191;Virna Lisi;2009-09-18
1192;Rod Amateau;1984-06-02
1193;Alberto Lattuada;1991-08-02
1194;Emily Lloyd;1994-03-26
1195;Rosalind Lloyd;1957-02-16
1196;Andrew V. McLaglen;1991-07-01
1197;Sondra Locke;1980-10-23
1198;Michael Barry;1949-06-19
1199;Robert Townsend;2010-10-23
1200;Margaret Lockwood;1996-06-03
1201;Bob Peck;1961-09-22
1202;Phyllis Logan;1947-01-10
1203;Harry Hook;1991-11-22
1204;Terry-Thomas;1976-04-24
1205;Marie Lohr;2009-04-17
1206;Robert Armstrong;1998-08-23
1207;Carole Lombard;1992-08-28
1208;Howard Higgin;1946-03-04
1209;Robert Montgomery;1997-04-08
1210;Francois Cluzet;1972-12-03
1211;Lonette McKee;1991-12-09
1212;David Rayfield;1955-11-17
1213;Shelley Long;1989-12-01
1214;Curtis Hanson;1948-12-16
1215;Powers Boothe;1983-03-12
1216;Emily Longstreth;1942-11-13
1217;Lesli Linka Glatter;2005-03-28
1218;Robin Nichol;1988-06-05
1219;Traci Lords;2008-08-24
1220;Stewart Dell;2005-08-01
1221;Troy Donahue;1999-03-16
1222;Mark Freed;1941-09-18
1223;Sophia Loren;1993-06-21
1224;John Hough;1990-02-20
1225;Stphen Boyd;1980-02-26
1226;Anthony Mann;1992-02-07
1227;Delbert Mann;1964-08-02
1228;Alberto Sordi;1957-02-26
1229;Mario Mattoli;1972-02-12
1230;Steve Railsback;1984-09-22
1231;Boris Sagal;1978-06-10
1232;Ettore Scola;1948-11-12
1233;Lina Wertmuller;1965-07-27
1234;John Gavin;1948-02-11
1235;Robert Loggia;1972-05-14
1236;George Peppard;2006-04-21
1237;Billy Dee Williams;1941-02-22
1238;Bill Allen;1965-03-19
1239;Lori Loughlin;1973-12-19
1240;Suzanna Love;1952-09-24
1241;Ulli Lommel;1997-04-12
1242;Myrna Loy;1965-09-27
1243;Bela Lugosi;1989-06-07
1244;William Beaudine;1994-10-26
1245;Cherie Lunghi;2000-09-14
1246;Jim Belushi;1972-09-15
1247;Kelly Lynch;1970-08-19
1248;John Hughes;1945-11-05
1249;James Mason;1978-06-10
1250;Sue Lyon;1953-02-16
1251;James Spader;2010-03-26
1252;Andie MacDowell;1973-02-25
1253;Steven Soderbergh;1951-12-24
1254;Peter Weir;1990-04-03
1255;Paul Muzzcat;1951-01-10
1256;Jan MacKenzie;2003-04-07
1257;Shirley MacLaine;1990-07-01
1258;James L. Brooks;1971-01-02
1259;James Booth;1997-09-17
1260;Joseph McGrath;1993-06-22
1261;Robert Z'Dar;1990-12-14
1262;Fawna MacLaren;1990-05-07
1263;Aline MacMahon;1967-08-05
1264;William K. Howard;2003-09-25
1265;Madonna;1999-11-04
1266;Harry De Winter;1971-12-05
1267;Alek Keshishian;1983-12-20
1268;Jeremy Pattnosh;1977-10-18
1269;Steven Jon Lewicki;1987-11-17
1270;Vanna White;1964-08-27
1271;Virginia Madsen;1957-05-26
1272;Michael Dinner;1979-08-19
1273;Craig Sheffer;1988-03-15
1274;Duncan Gibbins;1968-03-28
1275;Don Johnson;1967-06-22
1276;Magali Noel;1989-09-12
1277;Pupella Maggio;1944-01-06
1278;Jason Connery;1988-03-10
1279;Luisa Maneri;1994-07-02
1280;Sergio Martino;2000-08-22
1281;Linda Manz;1981-07-23
1282;Adele Mara;1987-02-04
1283;Andrea Marcovicci;1996-06-18
1284;Kika Markham;1953-02-24
1285;Richard Loncraine;1979-10-24
1286;Broderick Crawford;1991-02-25
1287;Guilietta Masina;1962-07-05
1288;Marsha Mason;1992-07-05
1289;Divine;1970-12-27
1290;Edith Massey;1966-08-21
1291;Kevin Costner;1999-03-09
1292;Mary Elizabeth Mastrantonio;2009-10-22
1293;Roger Donaldson;2002-01-27
1294;Marlee Matlin;1948-11-20
1295;Randa Haines;1985-08-27
1296;Carmen Maura;1955-10-01
1297;Félix Rotaeta;1972-10-26
1298;Keith Carradine;1961-09-03
1299;Mimi Maynard;1973-05-06
1300;Virginia Mayo;1983-12-07
1301;Yaphet Kotto;1994-10-07
1302;Rue McClanahan;1950-02-03
1303;Gary Sherman;2007-06-02
1304;Robby Benson;1950-11-23
1305;Robert Carlyle;1972-03-15
1306;Emer McCourt;2009-04-12
1307;Ken Loach;1950-09-14
1308;Jody McCrea;1955-08-10
1309;Anthony M. Lanza;1965-10-15
1310;Mary McDonnell;1968-07-10
1311;James Earl Jones;1987-01-16
1312;John Sayles;2001-06-04
1313;Frances McDormand;1947-02-20
1314;Alan Parker;1968-12-27
1315;Vonetta McGee;1949-02-08
1316;John Shea;1981-08-21
1317;Kelly McGillis;1985-04-12
1318;Uri Barbash;1972-07-27
1319;Peter Weller;1991-10-19
1320;Abel Ferrera;1962-04-10
1321;Bernie Coulson;1962-07-01
1322;Jonathan Kaplan;1982-10-15
1323;Ted Kotcheff;1950-05-11
1324;Timothy Hutton;1966-06-28
1325;Alan Rudolph;2002-06-23
1326;Jeff Daniels;1991-04-23
1327;Elizabeth McGovern;1954-01-15
1328;Richard Benjamin;1991-10-28
1329;Marshall Brickman;1991-01-28
1330;Kevin Bacon Hughes;1962-12-09
1331;Dorothy McGuire;2003-07-03
1332;George Stevens;1946-04-26
1333;Timothy Dalton;1984-11-18
1334;Janet McTeer;2004-05-23
1335;Mariangela Melato;1982-03-25
1336;Andrew Bergman;1992-12-27
1337;Kirk Douglas;1992-06-06
1338;Adolphe Menjou;1947-02-01
1339;Melina Mercouri;1967-11-08
1340;Jules Dassin;2008-11-05
1341;Lee Meredith;1988-07-21
1342;Jackie Mason;1987-11-01
1343;Dina Merrill;1954-05-19
1344;Allan Arkush;1953-08-09
1345;Laurie Metcalf;1977-04-23
1346;Mike Figgis;1963-03-19
1347;Wesley Snipes;1953-10-05
1348;Michael Michele;1956-06-12
1349;Mario Van Peebles;1962-05-24
1350;Bette Midler;1996-02-07
1351;David Hayman;1996-07-27
1352;Sarah Miles;1943-11-15
1353;Robert Mitchum;1969-02-01
1354;David Lean;1960-05-04
1355;Richard C. Sarafian;1974-05-23
1356;Vera Miles;1945-02-11
1357;Penelope Ann Miller;1982-08-26
1358;Paul Reubens;1959-12-10
1359;Randal Kleiser;1983-04-17
1360;Yvette Mimieux;1943-11-15
1361;George Pal;2002-08-22
1362;Joel Grey;2002-05-25
1363;Liza Minnelli;1947-10-14
1364;Bob Fosse;2010-04-01
1365;Steve Gordon;1943-08-01
1366;Vincente Minnelli;2005-05-21
1367;Robert Englund;1977-06-19
1368;Kelly Jo Minter;1961-10-15
1369;Helen Mirren;1941-10-05
1370;Piers Haggard;1988-11-01
1371;John Cage;2004-06-01
1372;Meredith Monk;2008-01-28
1373;Peter Greenaway;1995-11-06
1374;Sterling Hayden;1958-08-14
1375;Marilyn Monroe;2009-05-16
1376;Eddie Garr;1996-03-16
1377;Phil Karlson;1996-01-19
1378;Jean Negulesco;1980-07-10
1379;Humphrey Bogart;1951-01-27
1380;John Candy;1949-08-22
1381;Demi Moore;1991-08-23
1382;Dan Aykroyd;1954-08-24
1383;Emilio Estevez;1970-09-19
1384;Savage Steve Holland;1989-05-16
1385;Jon Cryer;1992-12-04
1386;Jerry Schatzberg;1958-12-20
1387;Jerry Zucker;1943-04-13
1388;Rob Lowe;1964-04-10
1389;Edward Zwick;1976-10-18
1390;Mary Tyler Moore;1962-06-16
1391;Terry Moore;1942-06-24
1392;Joseph H. Lewis;1978-01-28
1393;Daniel Mann;2007-03-18
1394;Jeanne Moreau;1990-04-20
1395;William A. Fraker;1951-01-16
1396;Paola Mori;2000-07-20
1397;David Keith;1959-04-03
1398;Cathy Moriarty;1987-01-08
1399;Donald Cammell;1967-07-07
1400;Zero Mostel;1985-03-03
1401;Mel Brooks;1996-04-11
1402;Frank Annese;2010-10-26
1403;Tawny Moyer;1995-01-01
1404;Greg Gold;1991-04-11
1405;Michael Biehn;1942-11-01
1406;Maureen Mueller;1990-11-21
1407;Kenneth Bowser;1992-01-18
1408;Diana Muldaur;1951-03-27
1409;Ona Munson;1942-10-18
1410;Bernard Vorhaus;1964-08-23
1411;Ornella Muti;1946-11-12
1412;Dominique Deruddere;1941-08-23
1413;Mildred Natwick;1989-06-19
1414;John Forsythe;1953-08-11
1415;Raven Von Bergan;1941-03-17
1416;Monica Navarro;1945-02-06
1417;Bruce Marder;1948-10-25
1418;Patricia Neal;1969-01-03
1419;Barry Brenner;1958-11-04
1420;Gail Neely;2001-08-12
1421;Peter George;1963-01-28
1422;Jun Negami;1954-02-03
1423;Frank Whaley;2007-02-05
1424;Natalya Negoda;2010-01-15
1425;Hildegard Neil;1946-01-18
1426;Basil Dearden;1968-12-10
1427;Catherine Neilson;1955-01-23
1428;Kate Nelligan;2002-09-09
1429;Jack Hoxie;1948-12-12
1430;Evelyn Nelson;1979-09-11
1431;Robert N. Bradbury;1996-11-14
1432;Laraine Newman;1982-03-24
1433;Gary Weis;1966-11-10
1434;Nichelle Nichols;1963-04-02
1435;William  Shatner;1963-09-20
1436;Jim Metzler;1949-05-26
1437;Dana W. Nicholson;2005-06-15
1438;Steven Lovy;1956-07-15
1439;Brigitte Nielsen;1981-07-24
1440;George P. Cosmatos;1989-09-05
1441;Stig Olin;1963-09-10
1442;Maj-Britt Nilsson;1941-11-13
1443;Jeanette Nolan;1997-03-13
1444;Kim Novak;1967-12-16
1445;Yftach Katzur;1985-04-25
1446;Zachi Noy;1944-02-13
1447;Walter Bennett;1996-09-05
1448;Pat O'Brien;1949-12-07
1449;Irving Reis;2004-03-23
1450;Nell O'Day;1997-10-10
1451;Tyrone Power;1993-10-11
1452;Maureen O'Hara;1953-09-28
1453;Charles Laughton;1960-06-28
1454;George Sherman;1971-11-17
1455;Lena Olin;1978-08-24
1456;Nancy Olson;2006-12-18
1457;Edward Ludwig;1994-11-24
1458;Michael O'Herlihy;2003-09-05
1459;Pat O'Malley;1976-07-23
1460;Laslo Benedek;2001-03-21
1461;Carl Brisson;1940-02-12
1462;Anny Ondra;1990-05-19
1463;Tatum O'Neal;1985-11-14
1464;Bryan Forbes;1964-04-09
1465;Stephen Lack;1949-05-05
1466;Jennifer O'Neill;1958-01-04
1467;Marc Price;1955-09-01
1468;Lisa Orgolini;1977-06-21
1469;Charles Martin Smith;1963-09-10
1470;Nick Nolte;1944-02-08
1471;Annette O'Toole;1940-03-05
1472;Geraldine Page;1949-04-09
1473;Peter Masterson;1974-01-22
1474;Betsy Palmer;1991-03-26
1475;Irene Papas;1969-01-22
1476;Costa-Gavras;1975-11-16
1477;James Wilby;1974-01-07
1478;Judy Parfitt;1958-07-04
1479;James Ivory;1960-01-05
1480;Nicol Williamson;1994-10-18
1481;Tony Richardson;1970-03-06
1482;Tcheky Karyo;1999-02-03
1483;Anne Parillaud;1981-01-08
1484;Sarah Jessica Parker;1997-04-28
1485;Anthony Edwards;1965-07-15
1486;Dan Taylor;1955-08-10
1487;Barbara Parkins;1994-12-14
1488;Peter R. Hunt;1970-12-04
1489;Lee Majors;1964-10-16
1490;Dolly Parton;1996-07-24
1491;David Naughton;1988-01-23
1492;Alexandra Paul;1947-10-22
1493;Adrian Pasdar;1968-02-07
1494;Cecilia Peck;1992-05-13
1495;Jack Fisher;1964-05-07
1496;Judd Nelson;1945-01-07
1497;Elizabeth Perkins;1958-05-16
1498;Bob Clark;1981-05-09
1499;Danny DeVito;1994-07-10
1500;Rhea Perlman;1963-06-19
1501;Christopher Reid;2004-12-25
1502;Valerie Perrine;2010-09-26
1503;Dick Clement;1950-05-23
1504;Bernadette Peters;1983-12-20
1505;Carl Reiner;1973-04-01
1506;Penny Peyser;1987-02-06
1507;Richard Compton;1963-07-16
1508;Michelle Pfeiffer;2002-11-11
1509;Maxwell Caulfield;1971-02-16
1510;Patricia Birch;2006-07-12
1511;Matthew Modine;1968-02-20
1512;Matthew Broderick;1980-11-15
1513;Steve Kloves;1960-02-05
1514;John Landis;2003-05-04
1515;Robert Towne;1978-04-08
1516;Vic Morrow;2006-11-17
1517;Michelle Phillips;1993-11-22
1518;Warren Oates;1963-07-05
1519;Derek Jacobi;1941-10-06
1520;Sarah Pickering;1975-02-08
1521;Christine Edzard;1982-05-22
1522;Charles Rogers;1988-11-20
1523;Mary Pickford;1974-06-04
1524;Jonathan Frid;1961-11-17
1525;Christina Pickles;1976-03-14
1526;Alexandra Pigg;1958-10-03
1527;Tony Donahue;1961-03-25
1528;Suzanne Pleshette;2005-06-16
1529;Bernard Hill;1978-08-22
1530;Joan Plowright;1946-12-12
1531;John Stamos;1970-08-16
1532;Teri Polo;1978-02-19
1533;Graham Baker;1964-05-11
1534;Tom Selleck;1982-09-13
1535;Paulina Porizkova;1947-05-27
1536;Jimmy Smits;1998-06-27
1537;Markie Post;1992-02-23
1538;Gregory Harrison;1950-10-22
1539;Alexandra Powers;1965-01-11
1540;Sandor Stern;1955-08-22
1541;Stefanie Powers;2000-09-23
1542;Johnny Doran;1981-08-22
1543;Sally Prager;1985-03-26
1544;Fielder Cook;1945-06-15
1545;Paula Prentiss;1981-01-08
1546;Clive Donner;1999-03-02
1547;Leslie Nielsen;1949-12-19
1548;Priscilla Presley;1969-11-22
1549;David Zucker;2003-11-22
1550;Hugo Race;1969-10-04
1551;Santha Press;1990-04-15
1552;Colin South Tatoulis John;1954-05-27
1553;Kelly Preston;1962-07-27
1554;Ivan Reitman;1977-08-21
1555;John Travolta;1975-01-04
1556;Dave Thomas;1961-08-06
1557;William Lucking;1944-08-09
1558;Victoria Principal;2007-06-24
1559;Richard A. Colla;1954-10-11
1560;Allan Rachins;1943-06-13
1561;Lee Purcell;1960-10-14
1562;Robert Scheerer;1983-11-16
1563;James Read;1991-01-23
1564;Linda Purl;1946-11-01
1565;Mae Questel;2007-09-22
1566;David Robb;1953-01-21
1567;Kathleen Quinlan;1949-01-17
